state,date,icu_percent,non_icu_percent,vent_percent,non_vent_percent,beds_percent,non_beds_percent,qua_percent,non_qua_percent
Negeri Sembilan,2021-08-02,70.78651685393258,29.213483146067418,74.60317460317461,25.396825396825392,84.04059040590406,15.959409594095945,52.18631178707225,47.81368821292775
Negeri Sembilan,2021-08-03,70.78651685393258,29.213483146067418,66.66666666666666,33.33333333333334,84.50184501845018,15.498154981549817,48.669201520912544,51.330798479087456
Negeri Sembilan,2021-08-04,70.78651685393258,29.213483146067418,61.904761904761905,38.095238095238095,81.08856088560886,18.911439114391143,51.52091254752852,48.47908745247148
Negeri Sembilan,2021-08-05,70.78651685393258,29.213483146067418,66.66666666666666,33.33333333333334,78.78228782287823,21.21771217712177,54.94296577946768,45.05703422053232
Negeri Sembilan,2021-08-06,70.78651685393258,29.213483146067418,69.84126984126983,30.158730158730165,72.50922509225092,27.490774907749085,55.370722433460074,44.629277566539926
Negeri Sembilan,2021-08-07,70.78651685393258,29.213483146067418,73.01587301587301,26.984126984126988,68.63468634686348,31.365313653136525,53.659695817490494,46.340304182509506
Negeri Sembilan,2021-08-08,70.78651685393258,29.213483146067418,63.49206349206349,36.50793650793651,69.37269372693727,30.62730627306273,52.138783269961976,47.861216730038024
Negeri Sembilan,2021-08-09,70.78651685393258,29.213483146067418,69.84126984126983,30.158730158730165,61.53136531365314,38.46863468634686,48.954372623574145,51.045627376425855
Negeri Sembilan,2021-08-10,70.78651685393258,29.213483146067418,66.66666666666666,33.33333333333334,63.00738007380073,36.99261992619927,42.96577946768061,57.03422053231939
Negeri Sembilan,2021-08-11,70.78651685393258,29.213483146067418,66.66666666666666,33.33333333333334,57.656826568265686,42.343173431734314,42.44296577946768,57.55703422053232
Negeri Sembilan,2021-08-12,70.78651685393258,29.213483146067418,68.25396825396825,31.746031746031747,58.210332103321036,41.789667896678964,38.64068441064639,61.35931558935361
Negeri Sembilan,2021-08-13,77.31958762886599,22.68041237113401,65.07936507936508,34.920634920634924,62.91512915129152,37.08487084870848,42.585551330798474,57.414448669201526
Negeri Sembilan,2021-08-14,77.31958762886599,22.68041237113401,68.25396825396825,31.746031746031747,55.904059040590404,44.095940959409596,39.68631178707224,60.31368821292776
Negeri Sembilan,2021-08-15,77.31958762886599,22.68041237113401,55.55555555555556,44.44444444444444,54.05904059040591,45.94095940959409,40.969581749049425,59.030418250950575
Negeri Sembilan,2021-08-16,77.31958762886599,22.68041237113401,60.317460317460316,39.682539682539684,48.708487084870846,51.291512915129154,42.157794676806084,57.842205323193916
Negeri Sembilan,2021-08-17,77.31958762886599,22.68041237113401,57.14285714285714,42.85714285714286,37.91512915129152,62.08487084870848,39.06844106463878,60.93155893536122
Negeri Sembilan,2021-08-18,88,12,70.58823529411765,29.411764705882348,43.542435424354245,56.457564575645755,42.82319391634981,57.17680608365019
Negeri Sembilan,2021-08-19,80,20,39.705882352941174,60.294117647058826,39.11439114391143,60.88560885608857,40.161596958174904,59.838403041825096
Negeri Sembilan,2021-08-20,80,20,41.17647058823529,58.82352941176471,38.837638376383765,61.162361623616235,42.01520912547528,57.98479087452472
Negeri Sembilan,2021-08-21,80,20,38.23529411764706,61.76470588235294,39.57564575645757,60.42435424354243,41.539923954372625,58.460076045627375
Negeri Sembilan,2021-08-22,80,20,45.588235294117645,54.411764705882355,41.32841328413284,58.67158671586716,37.73764258555133,62.26235741444867
Negeri Sembilan,2021-08-23,80,20,33.82352941176471,66.17647058823529,34.132841328413285,65.86715867158671,35.02851711026616,64.971482889733835
Negeri Sembilan,2021-08-24,80,20,20.588235294117645,79.41176470588235,35.42435424354243,64.57564575645756,32.17680608365019,67.82319391634981
Negeri Sembilan,2021-08-25,80,20,20.588235294117645,79.41176470588235,36.715867158671585,63.284132841328415,31.273764258555133,68.72623574144487
Negeri Sembilan,2021-08-26,80,20,25,75,34.50184501845018,65.49815498154982,33.03231939163498,66.96768060836501
Negeri Sembilan,2021-08-27,80,20,25,75,33.67158671586716,66.32841328413284,30.46577946768061,69.5342205323194
